date,visitor,home,start_time,neutral_site,overtime,home_points,away_points,game_length
2024-10-22,New York Knicks,Boston Celtics,19:30,n,0,132,109,02:04:00
2024-10-22,Minnesota Timberwolves,Los Angeles Lakers,22:00,n,0,110,103,02:26:00
2024-10-23,Indiana Pacers,Detroit Pistons,19:00,n,0,109,115,02:23:00
2024-10-23,Brooklyn Nets,Atlanta Hawks,19:30,n,0,120,116,02:33:00
2024-10-23,Orlando Magic,Miami Heat,19:30,n,0,97,116,02:31:00
2024-10-23,Milwaukee Bucks,Philadelphia 76ers,19:30,n,0,109,124,02:28:00
2024-10-23,Cleveland Cavaliers,Toronto Raptors,19:30,n,0,106,136,02:18:00
2024-10-23,Charlotte Hornets,Houston Rockets,20:00,n,0,105,110,02:20:00
2024-10-23,Chicago Bulls,New Orleans Pelicans,20:00,n,0,123,111,02:11:00
2024-10-23,Memphis Grizzlies,Utah Jazz,21:00,n,0,124,126,02:33:00
2024-10-23,Phoenix Suns,Los Angeles Clippers,22:00,n,1,113,116,02:45:00
2024-10-23,Golden State Warriors,Portland Trail Blazers,22:00,n,0,104,140,02:17:00
2024-10-24,Boston Celtics,Washington Wizards,19:00,n,0,102,122,02:11:00
2024-10-24,San Antonio Spurs,Dallas Mavericks,19:30,n,0,120,109,02:18:00
2024-10-24,Minnesota Timberwolves,Sacramento Kings,22:00,n,0,115,117,02:22:00
2024-10-24,Oklahoma City Thunder,Denver Nuggets,22:00,n,0,87,102,02:10:00
2024-10-25,Brooklyn Nets,Orlando Magic,19:00,n,0,116,101,02:31:00
2024-10-25,Philadelphia 76ers,Toronto Raptors,19:00,n,0,115,107,02:47:00
2024-10-25,Charlotte Hornets,Atlanta Hawks,19:30,n,0,125,120,02:32:00
2024-10-25,Detroit Pistons,Cleveland Cavaliers,19:30,n,0,113,101,02:10:00
2024-10-25,Indiana Pacers,New York Knicks,19:30,n,0,123,98,02:21:00
2024-10-25,Memphis Grizzlies,Houston Rockets,20:00,n,0,128,108,02:31:00
2024-10-25,Chicago Bulls,Milwaukee Bucks,20:00,n,0,122,133,02:13:00
2024-10-25,Golden State Warriors,Utah Jazz,21:30,n,0,86,127,02:07:00
2024-10-25,Phoenix Suns,Los Angeles Lakers,22:00,n,0,123,116,02:17:00
2024-10-25,New Orleans Pelicans,Portland Trail Blazers,22:00,n,0,103,105,02:23:00
2024-10-26,Los Angeles Clippers,Denver Nuggets,17:00,n,0,104,109,02:23:00
2024-10-26,Cleveland Cavaliers,Washington Wizards,19:00,n,0,116,135,02:23:00
2024-10-26,Boston Celtics,Detroit Pistons,19:00,n,0,118,124,02:18:00
2024-10-26,Miami Heat,Charlotte Hornets,19:00,n,0,106,114,02:23:00
2024-10-26,Orlando Magic,Memphis Grizzlies,20:00,n,0,124,111,02:16:00
2024-10-26,Toronto Raptors,Minnesota Timberwolves,20:00,n,0,112,101,02:12:00
2024-10-26,Oklahoma City Thunder,Chicago Bulls,20:00,n,0,95,114,02:09:00
2024-10-26,Houston Rockets,San Antonio Spurs,20:30,n,0,109,106,02:26:00
2024-10-26,Dallas Mavericks,Phoenix Suns,22:00,n,0,114,102,02:22:00
2024-10-26,Sacramento Kings,Los Angeles Lakers,22:30,n,0,131,127,02:18:00
2024-10-27,Philadelphia 76ers,Indiana Pacers,15:30,n,1,114,118,02:52:00
2024-10-27,New Orleans Pelicans,Portland Trail Blazers,18:00,n,0,125,103,02:09:00
2024-10-27,Milwaukee Bucks,Brooklyn Nets,18:00,n,0,115,102,02:19:00
2024-10-27,Atlanta Hawks,Oklahoma City Thunder,19:00,n,0,128,104,02:23:00
2024-10-27,Los Angeles Clippers,Golden State Warriors,20:30,n,0,104,112,02:22:00
2024-10-28,Indiana Pacers,Orlando Magic,19:00,n,0,119,115,02:31:00
2024-10-28,Washington Wizards,Atlanta Hawks,19:30,n,0,119,121,02:26:00
2024-10-28,Milwaukee Bucks,Boston Celtics,19:30,n,0,119,108,02:18:00
2024-10-28,Denver Nuggets,Toronto Raptors,19:30,n,1,125,127,02:35:00
2024-10-28,Detroit Pistons,Miami Heat,19:30,n,0,106,98,02:18:00
2024-10-28,Cleveland Cavaliers,New York Knicks,19:30,n,0,104,110,02:23:00
2024-10-28,Houston Rockets,San Antonio Spurs,20:00,n,0,101,106,02:23:00
2024-10-28,Chicago Bulls,Memphis Grizzlies,20:00,n,0,123,126,02:09:00
2024-10-28,Utah Jazz,Dallas Mavericks,20:30,n,0,110,102,02:16:00
2024-10-28,Portland Trail Blazers,Sacramento Kings,22:00,n,0,111,98,02:26:00
2024-10-28,Los Angeles Lakers,Phoenix Suns,22:00,n,0,109,105,02:17:00
2024-10-29,Denver Nuggets,Brooklyn Nets,19:30,n,1,139,144,02:46:00
2024-10-29,Dallas Mavericks,Minnesota Timberwolves,19:30,n,0,114,120,02:24:00
2024-10-29,Sacramento Kings,Utah Jazz,21:00,n,0,96,113,01:59:00
2024-10-29,New Orleans Pelicans,Golden State Warriors,22:00,n,0,124,106,02:20:00
2024-10-30,Detroit Pistons,Philadelphia 76ers,19:00,n,0,95,105,02:15:00
2024-10-30,Atlanta Hawks,Washington Wizards,19:00,n,0,133,120,02:25:00
2024-10-30,Boston Celtics,Indiana Pacers,19:00,n,1,135,132,02:37:00
2024-10-30,Los Angeles Lakers,Cleveland Cavaliers,19:00,n,0,134,110,02:07:00
2024-10-30,Toronto Raptors,Charlotte Hornets,19:00,n,0,138,133,02:18:00
2024-10-30,New York Knicks,Miami Heat,19:30,n,0,107,116,02:10:00
2024-10-30,Orlando Magic,Chicago Bulls,20:00,n,0,102,99,02:19:00
2024-10-30,Brooklyn Nets,Memphis Grizzlies,20:00,n,0,106,119,02:26:00
2024-10-30,San Antonio Spurs,Oklahoma City Thunder,21:30,n,0,105,93,02:01:00
2024-10-30,New Orleans Pelicans,Golden State Warriors,22:00,n,0,104,89,02:19:00
2024-10-30,Portland Trail Blazers,Los Angeles Clippers,22:30,n,0,105,106,02:11:00
2024-10-31,Milwaukee Bucks,Memphis Grizzlies,20:00,n,0,122,99,02:12:00
2024-10-31,Houston Rockets,Dallas Mavericks,20:30,n,0,102,108,02:21:00
2024-10-31,San Antonio Spurs,Utah Jazz,21:00,n,0,88,106,02:10:00
2024-10-31,Phoenix Suns,Los Angeles Clippers,22:30,n,0,119,125,02:15:00
2024-11-01,Boston Celtics,Charlotte Hornets,19:00,n,0,109,124,02:17:00
2024-11-01,Orlando Magic,Cleveland Cavaliers,19:00,n,0,120,109,02:20:00
2024-11-01,New York Knicks,Detroit Pistons,19:00,n,0,98,128,01:55:00
2024-11-01,Sacramento Kings,Atlanta Hawks,19:30,n,0,115,123,02:16:00
2024-11-01,Chicago Bulls,Brooklyn Nets,19:30,n,0,120,112,02:07:00
2024-11-01,Los Angeles Lakers,Toronto Raptors,19:30,n,0,125,131,02:25:00
2024-11-01,Indiana Pacers,New Orleans Pelicans,20:00,n,0,125,118,02:10:00
2024-11-01,Denver Nuggets,Minnesota Timberwolves,21:30,n,0,119,116,02:25:00
2024-11-01,Oklahoma City Thunder,Portland Trail Blazers,22:00,n,0,114,137,02:11:00
2024-11-02,Boston Celtics,Charlotte Hornets,18:00,n,0,103,113,02:09:00
2024-11-02,Memphis Grizzlies,Philadelphia 76ers,19:30,n,0,107,124,02:12:00
2024-11-02,Sacramento Kings,Toronto Raptors,19:30,n,1,131,128,02:58:00
2024-11-02,Golden State Warriors,Houston Rockets,20:00,n,1,121,127,02:43:00
2024-11-02,Cleveland Cavaliers,Milwaukee Bucks,20:00,n,0,113,114,02:15:00
2024-11-02,Minnesota Timberwolves,San Antonio Spurs,20:00,n,0,113,103,02:12:00
2024-11-02,Miami Heat,Washington Wizards,21:30,y,0,98,118,02:16:00
2024-11-02,Utah Jazz,Denver Nuggets,22:00,n,0,129,103,02:28:00
2024-11-02,Portland Trail Blazers,Phoenix Suns,22:00,n,0,103,97,02:08:00
2024-11-02,Oklahoma City Thunder,Los Angeles Clippers,22:30,n,0,92,105,02:11:00
2024-11-03,Detroit Pistons,Brooklyn Nets,15:30,n,0,92,106,02:22:00
2024-11-03,Atlanta Hawks,New Orleans Pelicans,19:00,n,0,111,126,02:07:00
2024-11-03,Orlando Magic,Dallas Mavericks,19:30,n,0,108,85,02:19:00
2024-11-04,Milwaukee Bucks,Cleveland Cavaliers,19:00,n,0,116,114,02:02:00
2024-11-04,Golden State Warriors,Washington Wizards,19:15,n,0,112,125,02:20:00
2024-11-04,Los Angeles Lakers,Detroit Pistons,19:30,n,0,115,103,02:15:00
2024-11-04,Boston Celtics,Atlanta Hawks,19:45,n,0,93,123,01:56:00
2024-11-04,Memphis Grizzlies,Brooklyn Nets,20:00,n,0,106,104,02:14:00
2024-11-04,Sacramento Kings,Miami Heat,20:15,n,0,110,111,02:20:00
2024-11-04,Utah Jazz,Chicago Bulls,20:30,n,0,126,135,02:22:00
2024-11-04,New York Knicks,Houston Rockets,20:45,n,0,109,97,02:08:00
2024-11-04,Charlotte Hornets,Minnesota Timberwolves,21:00,n,0,114,93,02:15:00
2024-11-04,Orlando Magic,Oklahoma City Thunder,21:15,n,0,102,86,02:15:00
2024-11-04,Portland Trail Blazers,New Orleans Pelicans,21:30,n,0,100,118,02:07:00
2024-11-04,Indiana Pacers,Dallas Mavericks,21:45,n,0,127,134,02:12:00
2024-11-04,Toronto Raptors,Denver Nuggets,22:00,n,0,121,119,02:19:00
2024-11-04,Philadelphia 76ers,Phoenix Suns,22:15,n,0,118,116,02:18:00
2024-11-04,San Antonio Spurs,Los Angeles Clippers,22:30,n,0,113,104,02:05:00
2024-11-06,Detroit Pistons,Charlotte Hornets,19:00,n,0,108,107,02:11:00
2024-11-06,Orlando Magic,Indiana Pacers,19:00,n,0,118,111,02:20:00
2024-11-06,New York Knicks,Atlanta Hawks,19:30,n,0,121,116,02:16:00
2024-11-06,Golden State Warriors,Boston Celtics,19:30,n,0,112,118,02:21:00
2024-11-06,San Antonio Spurs,Houston Rockets,20:00,n,0,127,100,01:59:00
2024-11-06,Los Angeles Lakers,Memphis Grizzlies,20:00,n,0,131,114,02:11:00
2024-11-06,Cleveland Cavaliers,New Orleans Pelicans,20:00,n,0,122,131,02:11:00
2024-11-06,Chicago Bulls,Dallas Mavericks,20:30,n,0,119,99,02:09:00
2024-11-06,Oklahoma City Thunder,Denver Nuggets,21:00,n,0,124,122,02:19:00
2024-11-06,Miami Heat,Phoenix Suns,21:00,n,0,115,112,02:20:00
2024-11-06,Philadelphia 76ers,Los Angeles Clippers,22:00,n,0,110,98,02:21:00
2024-11-06,Toronto Raptors,Sacramento Kings,22:00,n,0,122,107,02:11:00
2024-11-07,Minnesota Timberwolves,Chicago Bulls,20:00,n,0,119,135,02:03:00
2024-11-07,Utah Jazz,Milwaukee Bucks,20:00,n,0,123,100,02:14:00
2024-11-07,Portland Trail Blazers,San Antonio Spurs,20:00,n,0,118,105,02:09:00
2024-11-08,Indiana Pacers,Charlotte Hornets,19:00,n,0,103,83,02:13:00
2024-11-08,Atlanta Hawks,Detroit Pistons,19:00,n,0,122,121,02:19:00
2024-11-08,New Orleans Pelicans,Orlando Magic,19:00,n,0,115,88,02:07:00
2024-11-08,Brooklyn Nets,Boston Celtics,19:30,n,1,108,104,02:26:00
2024-11-08,Golden State Warriors,Cleveland Cavaliers,19:30,n,0,136,117,02:10:00
2024-11-08,Phoenix Suns,Dallas Mavericks,19:30,n,0,113,114,02:21:00
2024-11-08,Milwaukee Bucks,New York Knicks,19:30,n,0,116,94,02:07:00
2024-11-08,Washington Wizards,Memphis Grizzlies,20:00,n,0,128,104,02:23:00
2024-11-08,Houston Rockets,Oklahoma City Thunder,20:00,n,0,126,107,02:14:00
