player_id,bbreference_abbreviation,player_number
youngtr01,ATL,11
daniedy01,ATL,5
okongon01,ATL,17
risacza01,ATL,10
capelca01,ATL,15
mathega01,ATL,24
krejcvi01,ATL,27
johnsja05,ATL,1
wallake01,ATL,2
nancela02,ATL,22
barlodo01,ATL,0
gueyemo02,ATL,18
mannte01,ATL,14
leverca01,ATL,3
niangge01,ATL,20
bufkiko01,ATL,4
plowdda01,ATL,29
toppija01,ATL,
pritcpa01,BOS,11
whitede01,BOS,9
tatumja01,BOS,0
kornelu01,BOS,40
hausesa01,BOS,30
brownja02,BOS,7
horfoal01,BOS,42
quetane01,BOS,88
holidjr01,BOS,4
walshjo01,BOS,27
porzikr01,BOS,8
tillmxa01,BOS,26
peterdr01,BOS,13
scheiba01,BOS,55
davisjd01,BOS,20
craigto01,BOS,12
norrimi01,BOS,44
wilsoja03,BRK,22
johnske07,BRK,45
claxtni01,BRK,33
willizi02,BRK,"1, 8"
johnsca02,BRK,2
martity01,BRK,13
sharpda01,BRK,20
clownno01,BRK,21
watfotr01,BRK,9
beekmre01,BRK,4
thomaca02,BRK,24
russeda01,BRK,1
evbuoto01,BRK,12
whiteda01,BRK,0
lewisma05,BRK,27
meltode01,BRK,
etienty01,BRK,
greenjo02,CHO,10
diabamo01,CHO,14
curryse01,CHO,30
bridgmi02,CHO,0
salauti01,CHO,31
smithni01,CHO,8
ballla01,CHO,1
willima07,CHO,5
jeffrda01,CHO,3
millebr02,CHO,24
gibsota01,CHO,67
simpskj01,CHO,25
willigr01,CHO,2
manntr01,CHO,23
baughda01,CHO,7
nurkiju01,CHO,11
okogijo01,CHO,12
moorewe01,CHO,9
buzelma01,CHI,14
phillju01,CHI,15
giddejo01,CHI,3
whiteco01,CHI,0
terryda01,CHI,25
vucevni01,CHI,9
smithja04,CHI,7
hortota01,CHI,22
dosunay01,CHI,11
willipa01,CHI,44
balllo01,CHI,2
carteje01,CHI,5
jonestr01,CHI,30
colliza01,CHI,12
huertke01,CHI,13
liddeej01,CHI,32
milleem01,CHI,20
youngja05,CHI,17
allenja01,CLE,31
garlada01,CLE,10
mitchdo01,CLE,45
jeromty01,CLE,2
mobleev01,CLE,4
merrisa01,CLE,5
wadede01,CLE,32
portecr01,CLE,9
tysonja01,CLE,24
