player_id,fullname,height,weight,position,from_year,to_year,birth_date,hall_of_fame
abdelal01,Alaa Abdelnaby,6-10,240,F-C,1991,1995,1968-06-24,n
abdulza01,Zaid Abdul-Aziz,6-9,235,C-F,1969,1978,1946-04-07,n
abdulka01,Kareem Abdul-Jabbar,7-2,225,C,1970,1989,1947-04-16,y
abdulma02,Mahmoud Abdul-Rauf,6-1,162,G,1991,2001,1969-03-09,n
abdulta01,Tariq Abdul-Wahad,6-6,223,F,1998,2003,1974-11-03,n
abdursh01,Shareef Abdur-Rahim,6-9,225,F,1997,2008,1976-12-11,n
abernto01,Tom Abernethy,6-7,220,F,1977,1981,1954-05-06,n
ablefo01,Forest Able,6-3,180,G,1957,1957,1932-07-27,n
abramjo01,John Abramovic,6-3,195,F,1947,1948,1919-02-09,n
abrinal01,Álex Abrines,6-6,200,G-F,2017,2019,1993-08-01,n
achiupr01,Precious Achiuwa,6-8,225,F,2021,2025,1999-09-19,n
ackeral01,Alex Acker,6-5,185,G,2006,2009,1983-01-21,n
ackerdo01,Don Ackerman,6-0,183,G,1954,1954,1930-09-04,n
acresma01,Mark Acres,6-11,220,F-C,1988,1993,1962-11-15,n
actonbu01,Bud Acton,6-6,210,F,1968,1968,1942-01-11,n
acyqu01,Quincy Acy,6-7,240,F-C,2013,2019,1990-10-06,n
adamsal01,Alvan Adams,6-9,210,C-F,1976,1988,1954-07-19,n
adamsdo01,Don Adams,6-6,210,F,1971,1977,1947-11-27,n
adamsge01,George Adams,6-5,210,F-G,1973,1975,1949-05-15,n
adamsha01,Hassan Adams,6-4,220,G,2007,2009,1984-06-20,n
adamsja01,Jaylen Adams,6-0,225,G,2019,2021,1996-05-04,n
adamsjo01,Jordan Adams,6-5,209,G,2015,2016,1994-07-08,n
adamsmi01,Michael Adams,5-10,162,G,1986,1996,1963-01-19,n
adamsst01,Steven Adams,6-11,265,C,2014,2025,1993-07-20,n
addisra01,Rafael Addison,6-7,215,F-G,1987,1997,1964-07-22,n
adebaba01,Bam Adebayo,6-9,255,C-F,2018,2025,1997-07-18,n
adelde01,Deng Adel,6-7,200,F,2019,2019,1997-02-01,n
adelmri01,Rick Adelman,6-1,175,G,1969,1975,1946-06-16,y
adrieje01,Jeff Adrien,6-7,245,F,2011,2015,1986-02-10,n
afflaar01,Arron Afflalo,6-5,210,G-F,2008,2018,1985-10-15,n
agbajoc01,Ochai Agbaji,6-5,215,G,2023,2025,2000-04-20,n
agerma01,Maurice Ager,6-5,202,G,2007,2011,1984-02-09,n
aguirma01,Mark Aguirre,6-6,232,F-G,1982,1994,1959-12-10,n
ahearbl01,Blake Ahearn,6-2,190,G,2008,2012,1984-05-27,n
aingeda01,Danny Ainge,6-5,185,G,1982,1995,1959-03-17,n
aitchma01,Matt Aitch,6-7,230,F,1968,1968,1944-09-21,n
ajincal01,Alexis Ajinça,7-2,248,C-F,2009,2017,1988-05-06,n
akinhe01,Henry Akin,6-10,225,C-F,1967,1969,1944-07-31,n
akognjo01,Josh Akognon,5-11,185,G,2013,2013,1986-02-10,n
akoonde01,DeVaughn Akoon-Purcell,6-6,200,G,2019,2019,1993-06-05,n
alabiso01,Solomon Alabi,7-1,251,C,2011,2012,1988-03-21,n
alarima01,Mark Alarie,6-8,217,F,1987,1991,1963-12-11,n
