date,visitor,home,Start (ET),Arena,overtime,home_points,away_points,game_length,neutral_site
10/22/2024,New York Knicks,Boston Celtics,7:30p,TD Garden,,132,109,2:04,
10/22/2024,Minnesota Timberwolves,Los Angeles Lakers,10:00p,Crypto.com Arena,,110,103,2:26,
10/23/2024,Indiana Pacers,Detroit Pistons,7:00p,Little Caesars Arena,,109,115,2:23,
10/23/2024,Brooklyn Nets,Atlanta Hawks,7:30p,State Farm Arena,,120,116,2:33,
10/23/2024,Orlando Magic,Miami Heat,7:30p,Kaseya Center,,97,116,2:31,
10/23/2024,Milwaukee Bucks,Philadelphia 76ers,7:30p,Wells Fargo Center,,109,124,2:28,
10/23/2024,Cleveland Cavaliers,Toronto Raptors,7:30p,Scotiabank Arena,,106,136,2:18,
10/23/2024,Charlotte Hornets,Houston Rockets,8:00p,Toyota Center,,105,110,2:20,
10/23/2024,Chicago Bulls,New Orleans Pelicans,8:00p,Smoothie King Center,,123,111,2:11,
10/23/2024,Memphis Grizzlies,Utah Jazz,9:00p,Delta Center,,124,126,2:33,
10/23/2024,Phoenix Suns,Los Angeles Clippers,10:00p,Intuit Dome,OT,113,116,2:45,
10/23/2024,Golden State Warriors,Portland Trail Blazers,10:00p,Moda Center,,104,140,2:17,
10/24/2024,Boston Celtics,Washington Wizards,7:00p,Capital One Arena,,102,122,2:11,
10/24/2024,San Antonio Spurs,Dallas Mavericks,7:30p,American Airlines Center,,120,109,2:18,
10/24/2024,Minnesota Timberwolves,Sacramento Kings,10:00p,Golden 1 Center,,115,117,2:22,
10/24/2024,Oklahoma City Thunder,Denver Nuggets,10:00p,Ball Arena,,87,102,2:10,
10/25/2024,Brooklyn Nets,Orlando Magic,7:00p,Kia Center,,116,101,2:31,
10/25/2024,Philadelphia 76ers,Toronto Raptors,7:00p,Scotiabank Arena,,115,107,2:47,
10/25/2024,Charlotte Hornets,Atlanta Hawks,7:30p,State Farm Arena,,125,120,2:32,
10/25/2024,Detroit Pistons,Cleveland Cavaliers,7:30p,Rocket Arena,,113,101,2:10,
10/25/2024,Indiana Pacers,New York Knicks,7:30p,Madison Square Garden (IV),,123,98,2:21,
10/25/2024,Memphis Grizzlies,Houston Rockets,8:00p,Toyota Center,,128,108,2:31,
10/25/2024,Chicago Bulls,Milwaukee Bucks,8:00p,Fiserv Forum,,122,133,2:13,
10/25/2024,Golden State Warriors,Utah Jazz,9:30p,Delta Center,,86,127,2:07,
10/25/2024,Phoenix Suns,Los Angeles Lakers,10:00p,Crypto.com Arena,,123,116,2:17,
10/25/2024,New Orleans Pelicans,Portland Trail Blazers,10:00p,Moda Center,,103,105,2:23,
10/26/2024,Los Angeles Clippers,Denver Nuggets,5:00p,Ball Arena,,104,109,2:23,
10/26/2024,Cleveland Cavaliers,Washington Wizards,7:00p,Capital One Arena,,116,135,2:23,
10/26/2024,Boston Celtics,Detroit Pistons,7:00p,Little Caesars Arena,,118,124,2:18,
10/26/2024,Miami Heat,Charlotte Hornets,7:00p,Spectrum Center,,106,114,2:23,
10/26/2024,Orlando Magic,Memphis Grizzlies,8:00p,FedEx Forum,,124,111,2:16,
10/26/2024,Toronto Raptors,Minnesota Timberwolves,8:00p,Target Center,,112,101,2:12,
10/26/2024,Oklahoma City Thunder,Chicago Bulls,8:00p,United Center,,95,114,2:09,
10/26/2024,Houston Rockets,San Antonio Spurs,8:30p,Frost Bank Center,,109,106,2:26,
10/26/2024,Dallas Mavericks,Phoenix Suns,10:00p,Footprint Center,,114,102,2:22,
10/26/2024,Sacramento Kings,Los Angeles Lakers,10:30p,Crypto.com Arena,,131,127,2:18,
10/27/2024,Philadelphia 76ers,Indiana Pacers,3:30p,Gainbridge Fieldhouse,OT,114,118,2:52,
10/27/2024,New Orleans Pelicans,Portland Trail Blazers,6:00p,Moda Center,,125,103,2:09,
10/27/2024,Milwaukee Bucks,Brooklyn Nets,6:00p,Barclays Center,,115,102,2:19,
10/27/2024,Atlanta Hawks,Oklahoma City Thunder,7:00p,Paycom Center,,128,104,2:23,
10/27/2024,Los Angeles Clippers,Golden State Warriors,8:30p,Chase Center,,104,112,2:22,
10/28/2024,Indiana Pacers,Orlando Magic,7:00p,Kia Center,,119,115,2:31,
10/28/2024,Washington Wizards,Atlanta Hawks,7:30p,State Farm Arena,,119,121,2:26,
10/28/2024,Milwaukee Bucks,Boston Celtics,7:30p,TD Garden,,119,108,2:18,
10/28/2024,Denver Nuggets,Toronto Raptors,7:30p,Scotiabank Arena,OT,125,127,2:35,
10/28/2024,Detroit Pistons,Miami Heat,7:30p,Kaseya Center,,106,98,2:18,
10/28/2024,Cleveland Cavaliers,New York Knicks,7:30p,Madison Square Garden (IV),,104,110,2:23,
10/28/2024,Houston Rockets,San Antonio Spurs,8:00p,Frost Bank Center,,101,106,2:23,
10/28/2024,Chicago Bulls,Memphis Grizzlies,8:00p,FedEx Forum,,123,126,2:09,
10/28/2024,Utah Jazz,Dallas Mavericks,8:30p,American Airlines Center,,110,102,2:16,
10/28/2024,Portland Trail Blazers,Sacramento Kings,10:00p,Golden 1 Center,,111,98,2:26,
10/28/2024,Los Angeles Lakers,Phoenix Suns,10:00p,Footprint Center,,109,105,2:17,
10/29/2024,Denver Nuggets,Brooklyn Nets,7:30p,Barclays Center,OT,139,144,2:46,
10/29/2024,Dallas Mavericks,Minnesota Timberwolves,7:30p,Target Center,,114,120,2:24,
10/29/2024,Sacramento Kings,Utah Jazz,9:00p,Delta Center,,96,113,1:59,
10/29/2024,New Orleans Pelicans,Golden State Warriors,10:00p,Chase Center,,124,106,2:20,
10/30/2024,Detroit Pistons,Philadelphia 76ers,7:00p,Wells Fargo Center,,95,105,2:15,
10/30/2024,Atlanta Hawks,Washington Wizards,7:00p,Capital One Arena,,133,120,2:25,
10/30/2024,Boston Celtics,Indiana Pacers,7:00p,Gainbridge Fieldhouse,OT,135,132,2:37,
10/30/2024,Los Angeles Lakers,Cleveland Cavaliers,7:00p,Rocket Arena,,134,110,2:07,
10/30/2024,Toronto Raptors,Charlotte Hornets,7:00p,Spectrum Center,,138,133,2:18,
10/30/2024,New York Knicks,Miami Heat,7:30p,Kaseya Center,,107,116,2:10,
10/30/2024,Orlando Magic,Chicago Bulls,8:00p,United Center,,102,99,2:19,
10/30/2024,Brooklyn Nets,Memphis Grizzlies,8:00p,FedEx Forum,,106,119,2:26,
